                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74906,                0.53359,                 1.0909,                0.85403,                0.70614,                 0.7808,                0.46944,                 1.4827,                0.86635,                 1.7508,              0.0013947,              0.0013947,              0.0013947
                     36,                0.75253,                0.53828,                  1.091,                0.72053,                0.65892,                0.69794,                 0.4115,                 1.5703,                 1.0605,                 1.8496,              0.0013864,              0.0013864,              0.0013864
                     37,                 0.7365,                0.53476,                  1.088,                0.77231,                 0.6929,                0.74242,                0.44906,                 1.5118,                 1.0113,                 1.8074,              0.0013782,              0.0013782,              0.0013782
                     38,                0.74563,                0.53834,                 1.0924,                0.76609,                0.64446,                0.73291,                0.44724,                  1.527,                0.96117,                 1.8171,              0.0013699,              0.0013699,              0.0013699
                     39,                0.72111,                0.52209,                 1.0793,                0.82495,                  0.678,                0.75993,                0.46712,                 1.4833,                  0.962,                 1.7901,              0.0013617,              0.0013617,              0.0013617
                     40,                0.74011,                0.51957,                 1.0958,                0.83903,                0.65272,                0.71842,                0.42262,                  1.513,                0.96303,                 1.8166,              0.0013534,              0.0013534,              0.0013534
                     41,                0.73904,                0.52286,                 1.0965,                0.79569,                0.71496,                0.77708,                0.48271,                 1.4465,                0.89156,                 1.7194,              0.0013452,              0.0013452,              0.0013452
                     42,                0.71508,                0.50213,                 1.0762,                0.87573,                 0.6381,                0.74745,                0.45638,                 1.5337,                0.96973,                 1.8262,              0.0013369,              0.0013369,              0.0013369
                     43,                0.70924,                0.50756,                 1.0737,                0.79679,                0.73641,                0.79644,                 0.4744,                 1.5134,                0.89155,                 1.7952,              0.0013287,              0.0013287,              0.0013287
                     44,                0.70436,                 0.4942,                 1.0694,                0.87959,                 0.6991,                0.77704,                0.48843,                  1.484,                 0.8585,                 1.7947,              0.0013204,              0.0013204,              0.0013204
                     45,                 0.7071,                0.50916,                 1.0797,                0.79635,                0.72962,                0.78785,                0.48094,                 1.4764,                0.85843,                  1.765,              0.0013122,              0.0013122,              0.0013122
