                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4601,                 1.5005,                 1.6292,                0.52695,                0.59127,                0.55777,                0.29514,                 1.6336,                 1.5899,                 1.7982,              0.0013947,              0.0013947,              0.0013947
                     36,                 1.4579,                 1.4633,                 1.6201,                 0.5989,                0.53375,                0.53602,                 0.2981,                 1.6556,                 1.6057,                 1.8404,              0.0013864,              0.0013864,              0.0013864
                     37,                 1.4552,                 1.4546,                  1.626,                0.63672,                0.45283,                0.49642,                 0.2624,                 1.6447,                 1.6149,                  1.808,              0.0013782,              0.0013782,              0.0013782
                     38,                 1.4711,                 1.4591,                 1.6262,                0.60788,                0.62049,                0.61128,                0.32342,                 1.5828,                 1.4227,                  1.766,              0.0013699,              0.0013699,              0.0013699
                     39,                 1.4376,                  1.432,                 1.6043,                0.66242,                0.44841,                0.50303,                0.26181,                 1.7099,                 1.7202,                 1.8784,              0.0013617,              0.0013617,              0.0013617
                     40,                 1.4672,                 1.4341,                 1.6251,                 0.5423,                0.55554,                0.54962,                0.30765,                 1.6127,                  1.458,                 1.7659,              0.0013534,              0.0013534,              0.0013534
                     41,                  1.423,                 1.3943,                 1.5986,                0.68125,                0.54649,                  0.623,                0.30953,                  1.628,                 1.4258,                 1.8062,              0.0013452,              0.0013452,              0.0013452
                     42,                 1.3959,                 1.3653,                 1.5774,                0.62631,                0.56916,                0.62439,                0.34604,                 1.5904,                 1.3757,                 1.7617,              0.0013369,              0.0013369,              0.0013369
                     43,                 1.4049,                 1.3511,                 1.5736,                0.69012,                0.57108,                0.63264,                0.35798,                 1.5362,                 1.3642,                 1.7125,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.4253,                 1.3818,                 1.5929,                0.64568,                0.53793,                0.61269,                0.32397,                 1.5825,                 1.5188,                 1.7736,              0.0013204,              0.0013204,              0.0013204
                     45,                 1.3859,                 1.3619,                 1.5741,                0.68922,                0.58593,                0.65906,                0.37299,                 1.5062,                 1.3062,                 1.7093,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.3993,                 1.3459,                 1.5712,                0.65473,                0.54365,                0.56548,                0.31135,                 1.5632,                 1.4492,                 1.7283,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.3789,                  1.276,                  1.553,                0.69648,                 0.5282,                0.59665,                0.32951,                 1.6213,                 1.3708,                 1.7712,              0.0012957,              0.0012957,              0.0012957
                     48,                 1.3718,                 1.2627,                 1.5593,                0.65748,                0.55896,                0.61137,                0.33188,                 1.5388,                 1.4595,                 1.7266,              0.0012874,              0.0012874,              0.0012874
                     49,                 1.3649,                 1.3195,                 1.5564,                0.61197,                0.56232,                0.59994,                0.31973,                  1.578,                 1.3642,                 1.7571,              0.0012792,              0.0012792,              0.0012792
                     50,                 1.3558,                 1.2523,                 1.5327,                0.65901,                0.59858,                 0.6751,                 0.3771,                 1.5865,                 1.2616,                 1.7397,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.3743,                  1.265,                 1.5525,                0.65835,                0.61974,                0.65606,                0.36776,                 1.5352,                 1.2367,                 1.7195,              0.0012627,              0.0012627,              0.0012627
                     52,                 1.3698,                 1.2816,                 1.5514,                0.72888,                0.59127,                0.67847,                0.37825,                 1.5549,                 1.3154,                 1.7428,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.3552,                  1.251,                 1.5333,                0.73446,                0.60996,                0.67821,                0.37243,                 1.5639,                 1.2589,                 1.7394,              0.0012462,              0.0012462,              0.0012462
                     54,                 1.3354,                 1.2256,                  1.522,                0.68801,                0.59974,                0.66891,                0.37506,                 1.5266,                 1.3114,                 1.7051,              0.0012379,              0.0012379,              0.0012379
                     55,                 1.3177,                 1.1762,                 1.4889,                0.65802,                0.64002,                 0.6741,                0.37252,                 1.5502,                 1.2999,                 1.7021,              0.0012297,              0.0012297,              0.0012297
