                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2912,                  1.047,                 1.2955,                0.72565,                0.60808,                0.68574,                 0.3925,                 1.5937,                 1.3599,                 1.5956,             0.00097629,             0.00097629,             0.00097629
                     35,                  1.306,                 1.0575,                 1.3162,                0.69949,                0.57388,                0.63831,                0.36243,                 1.5836,                 1.3517,                 1.6233,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.2742,                 0.9843,                 1.3084,                0.69975,                0.68772,                0.71294,                0.40174,                 1.5171,                 1.2337,                 1.5505,               0.000948,               0.000948,               0.000948
                     37,                  1.303,                 1.0526,                 1.3379,                0.72575,                0.65354,                0.69268,                 0.3787,                 1.5417,                 1.2451,                 1.5576,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2524,                 1.0017,                 1.2811,                0.75859,                0.73207,                0.74211,                0.43232,                  1.489,                 1.1097,                 1.5233,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.2691,                0.99453,                 1.2754,                0.68795,                0.66966,                 0.6771,                0.36007,                 1.5936,                 1.2065,                 1.6034,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.2835,                  1.025,                 1.2937,                0.77222,                0.69754,                0.74843,                0.43389,                 1.4984,                 1.1711,                 1.5212,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2685,                0.94323,                 1.2702,                0.70709,                0.69247,                0.71468,                0.38931,                 1.6075,                 1.1103,                 1.6085,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2227,                0.95728,                 1.2569,                0.80783,                0.66631,                0.74832,                0.44538,                 1.4743,                 1.0411,                 1.4892,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2283,                0.93443,                 1.2759,                0.76814,                0.71607,                0.75237,                0.42953,                 1.4965,                 1.0206,                 1.4937,             0.00084897,             0.00084897,             0.00084897
                     44,                  1.232,                0.90789,                 1.2595,                0.79907,                0.69234,                0.75439,                 0.4454,                 1.4517,                 1.0204,                 1.4911,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.1967,                0.92995,                 1.2615,                   0.79,                0.66986,                0.73005,                0.41966,                 1.5477,                 1.1511,                 1.5457,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.1694,                0.89721,                 1.2246,                0.69343,                0.73365,                0.72578,                0.40977,                 1.5465,                 1.1507,                  1.567,             0.00080653,             0.00080653,             0.00080653
