               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029046,            0.014566,            0.001398,             0.81421,             0.73691,             0.77729,             0.43101,            0.036387,           0.0099366,           0.0016369,           0.0082675,           0.0082675,           0.0082675
                  37,            0.029817,             0.01392,           0.0011859,             0.83679,             0.74096,             0.79591,             0.43908,            0.036619,           0.0098586,           0.0013389,            0.008218,            0.008218,            0.008218
                  38,            0.029237,            0.014492,            0.000936,             0.81562,             0.80084,             0.82926,             0.48979,            0.035024,           0.0098191,           0.0012835,           0.0081685,           0.0081685,           0.0081685
                  39,             0.02908,             0.01419,            0.001082,             0.81578,             0.67943,             0.74135,             0.42122,            0.037138,            0.010585,           0.0019556,            0.008119,            0.008119,            0.008119
                  40,            0.028553,            0.014269,           0.0011259,             0.80626,             0.77448,             0.81114,             0.46795,            0.033681,           0.0097944,           0.0025632,           0.0080695,           0.0080695,           0.0080695
                  41,            0.028712,            0.013695,          0.00089681,             0.77532,             0.74952,             0.80754,             0.45638,             0.03446,           0.0099933,           0.0011687,             0.00802,             0.00802,             0.00802
                  42,            0.027927,            0.013476,          0.00095903,             0.81051,             0.75723,             0.80991,             0.47593,             0.03483,            0.010005,           0.0019376,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027834,            0.013309,           0.0013693,             0.85212,                0.75,             0.81957,             0.46508,            0.034558,           0.0098978,           0.0010855,            0.007921,            0.007921,            0.007921
                  44,            0.027799,            0.013862,          0.00091488,             0.78736,             0.73897,             0.78639,             0.45213,            0.034375,           0.0099579,            0.001294,           0.0078715,           0.0078715,           0.0078715
                  45,            0.027383,            0.013621,           0.0013016,              0.8123,             0.76651,             0.81769,             0.46684,            0.035047,            0.010023,           0.0010128,            0.007822,            0.007822,            0.007822
                  46,            0.027566,             0.01364,           0.0010971,             0.72767,             0.78968,             0.80316,             0.46404,              0.0351,           0.0098561,           0.0015415,           0.0077725,           0.0077725,           0.0077725
                  47,            0.026975,            0.013127,          0.00093862,             0.83553,             0.81746,             0.85395,             0.50083,            0.033946,           0.0097368,            0.001184,            0.007723,            0.007723,            0.007723
                  48,            0.026676,            0.013417,           0.0011079,             0.79304,             0.70542,             0.77538,             0.45347,            0.037037,            0.010588,           0.0018232,           0.0076735,           0.0076735,           0.0076735
                  49,            0.026196,            0.012746,           0.0010086,             0.84479,             0.77948,             0.83635,             0.48474,              0.0356,            0.010094,           0.0013212,            0.007624,            0.007624,            0.007624
                  50,            0.026662,            0.012748,           0.0009773,             0.87193,             0.76058,             0.83198,              0.4645,            0.034942,           0.0099471,          0.00099409,           0.0075745,           0.0075745,           0.0075745
                  51,            0.026733,             0.01376,           0.0010434,             0.82946,             0.79772,              0.8442,             0.50954,            0.033958,           0.0097723,           0.0011786,            0.007525,            0.007525,            0.007525
                  52,            0.026806,            0.012955,          0.00076847,             0.84585,             0.77537,             0.82676,             0.49938,            0.035573,            0.009745,           0.0011995,           0.0074755,           0.0074755,           0.0074755
                  53,             0.02564,            0.012455,           0.0010794,             0.87313,             0.79478,             0.85707,             0.50975,            0.035252,           0.0096663,           0.0010397,            0.007426,            0.007426,            0.007426
                  54,            0.025828,             0.01278,          0.00099354,             0.82103,             0.80203,             0.85018,              0.4809,             0.03409,            0.010138,           0.0008416,           0.0073765,           0.0073765,           0.0073765
                  55,            0.025784,            0.012876,          0.00081611,             0.86396,             0.73923,             0.83545,             0.49127,            0.034049,            0.010039,           0.0012774,            0.007327,            0.007327,            0.007327
                  56,            0.025543,            0.012407,          0.00082861,              0.8661,              0.7943,             0.85643,             0.50212,             0.03415,           0.0098193,             0.00108,           0.0072775,           0.0072775,           0.0072775
                  57,            0.025155,            0.012687,          0.00073839,             0.89216,             0.77211,             0.83941,             0.51138,            0.033131,           0.0099659,          0.00094621,            0.007228,            0.007228,            0.007228
                  58,             0.02574,            0.012556,          0.00079086,             0.85571,             0.80103,             0.85477,              0.5019,            0.034104,            0.010057,           0.0012988,           0.0071785,           0.0071785,           0.0071785
                  59,            0.025225,            0.012557,          0.00069567,             0.84393,             0.78912,             0.84241,             0.50579,            0.032993,           0.0099045,           0.0013162,            0.007129,            0.007129,            0.007129
                  60,            0.024874,            0.012378,           0.0010312,             0.83361,             0.78968,             0.84764,             0.50504,            0.034106,            0.010112,           0.0010703,           0.0070795,           0.0070795,           0.0070795
                  61,            0.024613,            0.012483,          0.00070234,             0.85078,             0.84092,             0.87631,             0.52331,            0.034081,           0.0098308,          0.00093291,             0.00703,             0.00703,             0.00703
                  62,            0.024521,            0.012331,          0.00078507,             0.86257,             0.79252,             0.84678,             0.49542,            0.034371,            0.010188,           0.0013381,           0.0069805,           0.0069805,           0.0069805
                  63,            0.024809,            0.012392,          0.00068708,             0.89942,             0.79348,             0.85963,             0.49596,             0.03389,             0.00966,          0.00096658,            0.006931,            0.006931,            0.006931
