               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035109,            0.017195,           0.0019191,             0.65407,              0.6498,             0.69631,             0.33959,            0.038323,            0.010868,           0.0029245,             0.00769,             0.00769,             0.00769
                  37,            0.035872,             0.01738,           0.0019959,              0.8053,             0.70424,             0.79352,             0.39132,            0.037063,           0.0096699,           0.0017907,            0.007624,            0.007624,            0.007624
                  38,            0.035437,            0.016517,           0.0018666,             0.76301,             0.72982,             0.75635,              0.3762,            0.039005,           0.0098391,           0.0022932,            0.007558,            0.007558,            0.007558
                  39,            0.035698,            0.015627,           0.0014392,             0.90026,             0.64175,             0.76908,             0.38203,            0.037362,            0.010143,           0.0020117,            0.007492,            0.007492,            0.007492
                  40,            0.035035,            0.015733,           0.0017758,             0.78893,             0.64259,             0.72284,             0.35559,            0.037712,            0.010237,           0.0032227,            0.007426,            0.007426,            0.007426
                  41,            0.034601,            0.017427,           0.0012834,             0.86617,             0.71329,             0.80063,              0.4234,            0.038392,           0.0093928,            0.001599,             0.00736,             0.00736,             0.00736
                  42,            0.033104,            0.015995,           0.0015766,             0.76898,             0.71398,             0.76389,             0.37097,            0.037577,            0.010634,           0.0016595,            0.007294,            0.007294,            0.007294
                  43,            0.034535,            0.017426,           0.0014902,             0.78706,             0.73337,             0.77821,             0.39705,            0.038005,            0.010104,           0.0024275,            0.007228,            0.007228,            0.007228
                  44,            0.033871,            0.015572,           0.0015793,             0.79881,             0.71855,             0.78887,             0.38908,            0.039395,            0.010019,           0.0033616,            0.007162,            0.007162,            0.007162
                  45,             0.03331,            0.016656,           0.0014812,             0.81796,             0.73398,             0.78101,             0.40817,            0.037972,           0.0095197,           0.0015652,            0.007096,            0.007096,            0.007096
                  46,            0.033671,            0.014824,           0.0016588,             0.82759,             0.74329,             0.79216,             0.42101,             0.03902,           0.0099979,           0.0014013,             0.00703,             0.00703,             0.00703
                  47,             0.03266,            0.015658,           0.0018365,             0.73566,             0.76366,             0.79429,             0.40433,             0.03793,           0.0095991,            0.001487,            0.006964,            0.006964,            0.006964
                  48,            0.033646,            0.016301,           0.0015533,             0.89789,             0.69932,             0.79699,             0.40865,            0.038526,           0.0094859,           0.0014186,            0.006898,            0.006898,            0.006898
                  49,            0.032805,            0.015942,           0.0011366,             0.78057,             0.66501,             0.74312,             0.37704,            0.039883,            0.010452,           0.0021269,            0.006832,            0.006832,            0.006832
                  50,            0.032094,            0.015724,          0.00093494,             0.82748,             0.67427,             0.75545,             0.38345,            0.039863,           0.0098603,           0.0013009,            0.006766,            0.006766,            0.006766
                  51,            0.032649,            0.015752,           0.0012394,              0.8382,             0.73702,             0.80896,             0.41374,            0.036397,           0.0093614,            0.001135,              0.0067,              0.0067,              0.0067
                  52,            0.032569,            0.016108,            0.001453,              0.7992,              0.8073,             0.81544,             0.42058,            0.035119,           0.0089208,          0.00087844,            0.006634,            0.006634,            0.006634
                  53,            0.032301,            0.014941,           0.0016245,             0.82815,             0.72062,              0.7941,             0.42696,            0.036335,           0.0088896,           0.0011335,            0.006568,            0.006568,            0.006568
                  54,            0.031476,             0.01522,           0.0012923,             0.75936,             0.77463,             0.81501,             0.44021,            0.035683,           0.0090407,           0.0020491,            0.006502,            0.006502,            0.006502
                  55,            0.031225,            0.015797,           0.0011682,             0.75129,             0.77314,             0.80765,             0.43424,            0.036237,           0.0086348,           0.0022163,            0.006436,            0.006436,            0.006436
                  56,            0.031806,            0.014677,           0.0017407,             0.78898,              0.8187,             0.82218,             0.45313,            0.035237,           0.0090345,           0.0015142,             0.00637,             0.00637,             0.00637
                  57,            0.030324,            0.014587,           0.0010989,             0.76155,             0.76308,             0.79536,             0.41416,            0.037267,            0.009933,            0.001532,            0.006304,            0.006304,            0.006304
                  58,            0.030386,            0.014822,           0.0012718,             0.87824,             0.75045,              0.8331,             0.45251,            0.037286,           0.0089988,           0.0026747,            0.006238,            0.006238,            0.006238
