                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2893,                 1.1305,                 1.4565,                0.73547,                0.63582,                0.70805,                0.37681,                  1.605,                 1.2738,                 1.7297,              0.0014029,              0.0014029,              0.0014029
                     35,                 1.2758,                 1.0895,                 1.4325,                0.73387,                0.63929,                0.70313,                0.37671,                 1.5668,                 1.2146,                 1.6598,              0.0013947,              0.0013947,              0.0013947
                     36,                 1.2568,                 1.0841,                 1.4145,                0.71945,                0.62427,                 0.7005,                 0.3941,                  1.536,                  1.214,                 1.6447,              0.0013864,              0.0013864,              0.0013864
                     37,                 1.2568,                 1.0888,                 1.4209,                0.80179,                0.63768,                0.73163,                0.41975,                  1.503,                 1.1611,                 1.6187,              0.0013782,              0.0013782,              0.0013782
                     38,                 1.2489,                 1.0592,                 1.4169,                0.80498,                0.64119,                0.73942,                0.41639,                 1.5485,                 1.1603,                 1.6231,              0.0013699,              0.0013699,              0.0013699
                     39,                  1.252,                 1.0833,                 1.4184,                 0.8182,                0.66375,                 0.7516,                0.42293,                 1.4973,                  1.139,                 1.6078,              0.0013617,              0.0013617,              0.0013617
                     40,                  1.224,                 1.0303,                 1.3994,                0.77344,                0.66291,                0.74301,                0.42573,                 1.5032,                 1.1227,                 1.6075,              0.0013534,              0.0013534,              0.0013534
                     41,                 1.2214,                 1.0349,                 1.3911,                0.75869,                0.60953,                0.69256,                0.39236,                 1.5457,                 1.2271,                 1.6453,              0.0013452,              0.0013452,              0.0013452
                     42,                 1.2132,                 1.0326,                 1.3831,                0.72135,                0.67054,                0.69619,                0.40073,                 1.5062,                 1.1474,                 1.6058,              0.0013369,              0.0013369,              0.0013369
                     43,                 1.1961,                0.99466,                 1.3773,                0.78676,                0.66918,                0.74766,                0.42448,                 1.5284,                 1.1155,                 1.6131,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.2113,                 1.0084,                  1.376,                0.80285,                0.66514,                0.73207,                0.41576,                 1.5475,                 1.1154,                 1.6502,              0.0013204,              0.0013204,              0.0013204
                     45,                  1.197,                0.97338,                 1.3703,                 0.7591,                0.65469,                 0.7276,                0.41771,                 1.5245,                 1.1004,                 1.6378,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.2113,                0.99286,                 1.3832,                0.74199,                0.65123,                0.72461,                0.42389,                 1.4687,                 1.1544,                 1.5865,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.1778,                0.97777,                 1.3712,                0.77933,                0.68629,                0.74122,                0.43208,                 1.4901,                 1.0852,                 1.6257,              0.0012957,              0.0012957,              0.0012957
                     48,                 1.1813,                0.97025,                 1.3575,                0.76004,                0.68495,                0.74973,                0.44686,                 1.4653,                 1.0541,                 1.5789,              0.0012874,              0.0012874,              0.0012874
                     49,                 1.1641,                0.93462,                 1.3533,                0.78163,                 0.6907,                0.75363,                0.43537,                 1.4945,                 1.0874,                 1.6155,              0.0012792,              0.0012792,              0.0012792
