               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032481,            0.014777,           0.0012123,             0.70962,             0.71187,              0.7128,             0.37873,             0.03973,           0.0097263,           0.0010686,            0.006535,            0.006535,            0.006535
                  37,            0.033036,            0.014617,           0.0016016,             0.78975,             0.69298,             0.75853,             0.40395,            0.038495,           0.0093092,           0.0017183,            0.006436,            0.006436,            0.006436
                  38,            0.031727,            0.015408,           0.0013966,             0.74593,             0.75964,             0.75007,             0.39728,            0.037865,           0.0097121,           0.0016075,            0.006337,            0.006337,            0.006337
                  39,            0.031791,            0.014088,           0.0011451,             0.78572,             0.75141,             0.76311,             0.42392,            0.037981,           0.0092105,           0.0019434,            0.006238,            0.006238,            0.006238
                  40,            0.031776,            0.014095,           0.0015871,             0.76434,             0.73025,             0.77313,             0.42712,            0.039827,           0.0097489,           0.0015348,            0.006139,            0.006139,            0.006139
                  41,            0.031813,            0.014097,           0.0013166,             0.81697,             0.72482,             0.78242,             0.43728,            0.039847,           0.0094306,           0.0012147,             0.00604,             0.00604,             0.00604
                  42,            0.032237,            0.014481,           0.0014894,             0.80036,             0.80535,             0.79307,             0.43649,            0.035917,           0.0093892,           0.0016644,            0.005941,            0.005941,            0.005941
                  43,            0.030887,            0.015026,           0.0015324,             0.77224,             0.78678,             0.78755,             0.43895,            0.037426,           0.0094953,           0.0015875,            0.005842,            0.005842,            0.005842
                  44,            0.030519,            0.014704,           0.0013886,             0.76437,             0.74921,             0.76384,             0.44224,            0.037342,            0.009765,           0.0014803,            0.005743,            0.005743,            0.005743
                  45,             0.03087,            0.014523,           0.0017381,             0.84933,             0.74379,             0.78197,             0.41908,            0.038993,           0.0091343,            0.001571,            0.005644,            0.005644,            0.005644
                  46,            0.030512,            0.013783,           0.0012064,              0.7431,              0.7595,             0.76366,             0.41164,            0.039053,           0.0092319,           0.0027163,            0.005545,            0.005545,            0.005545
                  47,             0.02993,            0.013295,           0.0011624,             0.78985,             0.75401,             0.79236,             0.43759,            0.036485,           0.0090597,           0.0021582,            0.005446,            0.005446,            0.005446
                  48,            0.029442,            0.013878,          0.00089672,             0.83533,             0.80508,             0.82284,             0.45851,            0.035909,           0.0088474,           0.0022012,            0.005347,            0.005347,            0.005347
                  49,            0.029523,            0.014672,          0.00098968,             0.86276,             0.77041,             0.81132,             0.46172,             0.03531,           0.0089666,           0.0014178,            0.005248,            0.005248,            0.005248
                  50,            0.029924,             0.01398,           0.0011566,              0.8374,             0.77641,             0.80273,             0.45482,            0.036764,           0.0089672,           0.0022236,            0.005149,            0.005149,            0.005149
                  51,            0.028905,            0.013008,          0.00095677,             0.84345,              0.7284,             0.79122,             0.45548,             0.03749,           0.0090889,           0.0014504,             0.00505,             0.00505,             0.00505
                  52,             0.02811,            0.013239,          0.00080578,             0.78092,             0.77444,             0.79289,             0.42399,            0.036555,           0.0091822,           0.0015933,            0.004951,            0.004951,            0.004951
                  53,            0.028983,            0.012995,           0.0011556,             0.83284,             0.78351,             0.80459,             0.45013,            0.036242,           0.0088456,           0.0022792,            0.004852,            0.004852,            0.004852
                  54,            0.028599,            0.013428,          0.00090968,             0.81307,             0.80708,             0.81459,             0.47182,            0.036015,           0.0086639,           0.0018376,            0.004753,            0.004753,            0.004753
                  55,            0.028845,            0.013246,           0.0018633,             0.86955,             0.73693,              0.8127,             0.45958,            0.036621,           0.0087569,           0.0018335,            0.004654,            0.004654,            0.004654
                  56,            0.028063,            0.013194,          0.00085709,             0.77467,             0.79916,             0.81072,             0.47147,             0.03764,           0.0090899,           0.0015438,            0.004555,            0.004555,            0.004555
                  57,            0.028419,            0.013025,          0.00078822,             0.81119,             0.78454,             0.81248,             0.46704,            0.036402,           0.0089338,           0.0011079,            0.004456,            0.004456,            0.004456
