               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032326,            0.015676,            0.001206,             0.77085,             0.68883,             0.75466,             0.38405,            0.036891,            0.010519,           0.0011116,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03257,            0.014926,           0.0010872,             0.80625,             0.68355,             0.78042,             0.41335,             0.03713,            0.010421,           0.0010841,            0.008218,            0.008218,            0.008218
                  38,             0.03229,            0.015778,           0.0010579,              0.8036,             0.75213,             0.81479,             0.43547,            0.035601,           0.0098561,           0.0011269,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03272,            0.015694,            0.001059,             0.79489,             0.72483,             0.79308,             0.41391,            0.036323,           0.0099589,           0.0010835,            0.008119,            0.008119,            0.008119
                  40,            0.031188,             0.01555,           0.0011067,             0.76856,             0.72392,             0.75141,             0.40552,            0.036613,            0.010184,           0.0010848,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031835,            0.015174,            0.001135,             0.76385,             0.73262,             0.79706,             0.43187,            0.036122,           0.0098282,            0.001198,             0.00802,             0.00802,             0.00802
                  42,            0.031518,            0.014986,           0.0010816,             0.81799,             0.73923,             0.79822,             0.43265,             0.03632,            0.010191,           0.0011581,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031331,            0.014818,           0.0013852,             0.79526,             0.75212,             0.79467,              0.4282,            0.036239,            0.010051,           0.0012041,            0.007921,            0.007921,            0.007921
                  44,            0.031722,            0.015378,           0.0010224,             0.82187,             0.73881,             0.81243,             0.44914,            0.035467,            0.009912,           0.0010292,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031165,            0.015245,           0.0015389,             0.76223,                0.75,             0.79821,             0.44111,            0.036732,           0.0097291,            0.001371,            0.007822,            0.007822,            0.007822
                  46,             0.03124,            0.015239,           0.0011886,             0.76587,             0.73583,             0.79389,             0.43489,             0.03618,           0.0097591,           0.0011481,           0.0077725,           0.0077725,           0.0077725
                  47,            0.030161,            0.014904,          0.00096984,             0.83816,             0.75954,             0.82911,             0.45617,            0.035319,           0.0098372,           0.0010356,            0.007723,            0.007723,            0.007723
                  48,            0.030411,            0.015111,           0.0010234,             0.83631,             0.78626,             0.82051,             0.46872,            0.036125,            0.010078,           0.0011925,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030044,            0.014368,           0.0011314,             0.77195,             0.71315,             0.75727,             0.41207,             0.03695,            0.010127,           0.0012457,            0.007624,            0.007624,            0.007624
                  50,             0.03053,            0.014146,           0.0010638,             0.84515,             0.75057,             0.81523,             0.45278,            0.035465,           0.0099425,           0.0014006,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030004,            0.015243,          0.00079096,             0.81408,             0.73967,             0.80676,             0.44805,            0.035317,            0.010031,           0.0008747,            0.007525,            0.007525,            0.007525
                  52,            0.030561,            0.014462,          0.00068511,              0.8485,             0.76975,              0.8249,             0.46571,            0.035225,           0.0096138,          0.00079948,           0.0074755,           0.0074755,           0.0074755
                  53,            0.029117,            0.013944,          0.00089832,             0.83576,             0.75329,             0.82711,              0.4664,            0.035824,           0.0098537,          0.00087494,            0.007426,            0.007426,            0.007426
                  54,            0.029515,            0.014286,           0.0010167,             0.85164,             0.75737,             0.82082,             0.45285,            0.035079,           0.0099094,           0.0010528,           0.0073765,           0.0073765,           0.0073765
                  55,            0.029726,            0.014443,           0.0010195,             0.85558,             0.77644,             0.83012,             0.47349,             0.03614,           0.0098392,           0.0010389,            0.007327,            0.007327,            0.007327
                  56,            0.029417,            0.014076,          0.00099336,             0.81526,             0.76996,             0.82895,             0.46253,            0.036004,            0.010037,           0.0011844,           0.0072775,           0.0072775,           0.0072775
                  57,            0.028843,            0.014346,          0.00065949,             0.86219,             0.75057,             0.82282,             0.46571,            0.035658,           0.0097442,           0.0011269,            0.007228,            0.007228,            0.007228
                  58,            0.029979,            0.014431,          0.00078276,             0.82355,             0.77154,             0.81452,             0.46207,            0.034799,           0.0097375,            0.001305,           0.0071785,           0.0071785,           0.0071785
                  59,            0.029064,             0.01415,          0.00091691,             0.82248,             0.78515,             0.83009,             0.46347,            0.034608,            0.009734,           0.0012341,            0.007129,            0.007129,            0.007129
                  60,            0.028558,            0.013907,            0.001142,             0.85226,             0.76981,               0.825,              0.4541,            0.034395,            0.010053,           0.0013095,           0.0070795,           0.0070795,           0.0070795
                  61,            0.028195,            0.014043,           0.0009028,             0.81161,             0.73586,             0.79815,             0.44641,            0.034429,            0.010254,            0.001341,             0.00703,             0.00703,             0.00703
                  62,            0.028636,            0.014276,           0.0011772,              0.8067,             0.78628,             0.80697,             0.46855,            0.035294,            0.010014,           0.0012291,           0.0069805,           0.0069805,           0.0069805
                  63,            0.028741,            0.014286,          0.00079752,             0.85525,             0.76474,             0.81592,             0.47019,            0.035854,            0.010514,            0.001273,            0.006931,            0.006931,            0.006931
                  64,            0.028466,            0.013677,          0.00072973,             0.82547,              0.7691,             0.82502,             0.46247,            0.035816,             0.01027,           0.0011196,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028277,            0.013326,          0.00095767,             0.85998,             0.76814,              0.8323,             0.47852,            0.035949,            0.009994,           0.0011982,            0.006832,            0.006832,            0.006832
                  66,            0.027745,            0.013785,          0.00084668,             0.87692,             0.77743,             0.84448,             0.47395,            0.035392,            0.010023,           0.0009071,           0.0067825,           0.0067825,           0.0067825
                  67,            0.027776,            0.013424,          0.00088175,             0.80845,             0.74943,              0.8121,             0.45799,            0.034343,           0.0097773,           0.0009931,            0.006733,            0.006733,            0.006733
                  68,            0.027316,            0.013441,          0.00072874,              0.8069,             0.77232,              0.8239,             0.46494,            0.035024,            0.010014,           0.0011423,           0.0066835,           0.0066835,           0.0066835
                  69,            0.027527,            0.013578,          0.00071116,             0.80408,             0.78772,             0.83902,             0.47372,            0.034235,            0.010025,          0.00095621,            0.006634,            0.006634,            0.006634
                  70,            0.027143,            0.013065,          0.00059199,              0.8033,             0.78131,             0.82104,             0.47545,             0.03438,            0.010185,           0.0010772,           0.0065845,           0.0065845,           0.0065845
                  71,            0.027605,            0.013497,          0.00081314,             0.82948,              0.7551,              0.8359,             0.47119,            0.034502,           0.0099414,           0.0012038,            0.006535,            0.006535,            0.006535
                  72,            0.027212,            0.013514,          0.00067962,             0.81975,             0.72821,             0.82365,             0.45315,            0.034723,            0.010029,          0.00095949,           0.0064855,           0.0064855,           0.0064855
                  73,            0.026832,            0.012899,          0.00080307,             0.79571,             0.75624,             0.81332,             0.45555,            0.035339,            0.010445,           0.0014284,            0.006436,            0.006436,            0.006436
                  74,            0.027189,            0.013442,          0.00085947,             0.86199,             0.77778,             0.85199,             0.47674,             0.03496,           0.0098777,          0.00088524,           0.0063865,           0.0063865,           0.0063865
                  75,            0.027226,            0.012962,          0.00093016,             0.88209,             0.76474,             0.83714,             0.47499,            0.034513,            0.010051,           0.0013023,            0.006337,            0.006337,            0.006337
                  76,             0.02657,            0.013623,          0.00080493,              0.8435,             0.79064,             0.82722,             0.46293,            0.034828,            0.009618,          0.00086116,           0.0062875,           0.0062875,           0.0062875
                  77,            0.027472,            0.013209,           0.0007453,             0.85612,             0.76844,             0.83059,             0.47415,            0.034579,           0.0098921,          0.00098011,            0.006238,            0.006238,            0.006238
                  78,            0.026545,            0.013306,          0.00066086,             0.83953,             0.76838,             0.83666,             0.47193,            0.035356,           0.0098919,           0.0007621,           0.0061885,           0.0061885,           0.0061885
                  79,            0.026563,            0.013101,          0.00069648,             0.84987,             0.78181,             0.84817,             0.48947,            0.034174,           0.0098213,          0.00086221,            0.006139,            0.006139,            0.006139
                  80,            0.026881,            0.013108,          0.00069017,             0.90088,             0.75057,              0.8452,             0.48051,            0.034295,           0.0099596,           0.0010665,           0.0060895,           0.0060895,           0.0060895
                  81,            0.025866,            0.012775,           0.0008962,             0.83206,             0.78515,             0.83871,             0.49594,            0.035429,            0.010211,          0.00084447,             0.00604,             0.00604,             0.00604
                  82,            0.025544,            0.013397,          0.00092034,             0.85439,              0.7697,             0.84211,             0.48495,            0.034928,           0.0097967,           0.0007741,           0.0059905,           0.0059905,           0.0059905
                  83,            0.025918,            0.013132,           0.0007376,             0.81169,             0.79535,             0.83992,             0.48711,            0.034806,            0.010418,          0.00095779,            0.005941,            0.005941,            0.005941
                  84,            0.025351,            0.012782,          0.00080037,             0.86548,             0.75907,             0.83514,             0.48439,             0.03475,            0.010381,           0.0010325,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025683,            0.012961,          0.00070329,             0.84336,              0.7551,             0.82015,             0.47387,            0.034136,            0.010146,          0.00094217,            0.005842,            0.005842,            0.005842
                  86,            0.025625,            0.012722,          0.00084362,              0.8491,             0.77026,             0.82841,              0.4783,            0.034356,            0.010043,           0.0011672,           0.0057925,           0.0057925,           0.0057925
                  87,            0.025826,            0.012482,          0.00072107,             0.88153,             0.77494,             0.83268,             0.46942,            0.034227,            0.010026,          0.00091103,            0.005743,            0.005743,            0.005743
                  88,             0.02515,            0.013028,          0.00067705,             0.84907,             0.77948,             0.84414,             0.49127,            0.033969,           0.0098465,           0.0010446,           0.0056935,           0.0056935,           0.0056935
                  89,            0.025546,            0.012394,          0.00070976,             0.87103,             0.77942,             0.84086,             0.49721,            0.035036,            0.010185,           0.0010647,            0.005644,            0.005644,            0.005644
                  90,            0.025311,            0.012324,          0.00059077,             0.85257,             0.80805,              0.8541,             0.49347,            0.034005,            0.010337,          0.00095848,           0.0055945,           0.0055945,           0.0055945
                  91,            0.025247,            0.012672,          0.00075654,             0.88418,             0.76912,             0.83387,             0.47425,            0.034395,            0.010524,          0.00083692,            0.005545,            0.005545,            0.005545
                  92,            0.025494,            0.012404,          0.00073604,             0.86306,             0.79138,             0.85463,             0.48793,            0.034036,            0.010206,          0.00092924,           0.0054955,           0.0054955,           0.0054955
                  93,            0.025419,            0.013006,          0.00080281,              0.8511,             0.78005,             0.83088,             0.49022,            0.034759,            0.010015,          0.00084289,            0.005446,            0.005446,            0.005446
                  94,            0.024755,            0.012666,          0.00065271,             0.86955,             0.79325,              0.8333,             0.48871,             0.03434,            0.010083,          0.00081345,           0.0053965,           0.0053965,           0.0053965
                  95,            0.024521,            0.011805,           0.0005913,             0.85674,             0.76692,             0.82322,             0.47786,            0.035894,            0.010271,           0.0010803,            0.005347,            0.005347,            0.005347
                  96,            0.025512,            0.012392,          0.00061908,             0.86623,                0.75,               0.833,             0.48832,            0.034212,           0.0098816,           0.0008277,           0.0052975,           0.0052975,           0.0052975
                  97,             0.02484,            0.012105,          0.00070669,             0.85026,             0.80232,             0.86017,             0.49546,            0.033885,            0.010126,          0.00079777,            0.005248,            0.005248,            0.005248
                  98,            0.025247,            0.012258,          0.00058347,              0.8506,             0.79082,             0.83408,             0.48494,            0.034314,            0.010071,          0.00070205,           0.0051985,           0.0051985,           0.0051985
                  99,            0.024594,            0.012606,          0.00063466,             0.83781,             0.81751,             0.86099,             0.51161,             0.03456,            0.010011,          0.00076169,            0.005149,            0.005149,            0.005149
                 100,            0.023915,            0.012103,          0.00062405,             0.84058,             0.79307,             0.83055,             0.49325,            0.034519,            0.010361,          0.00073734,           0.0050995,           0.0050995,           0.0050995
                 101,            0.023869,            0.012344,          0.00086646,              0.8391,             0.78032,             0.82704,             0.48165,            0.033988,              0.0102,          0.00082069,             0.00505,             0.00505,             0.00505
                 102,             0.02409,            0.012214,           0.0007984,             0.90077,             0.75113,             0.82497,             0.48452,            0.034258,            0.010422,          0.00090915,           0.0050005,           0.0050005,           0.0050005
