               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033149,             0.01599,          0.00096587,              0.6907,             0.31036,             0.30046,             0.15847,            0.050251,            0.020744,            0.053101,            0.006436,            0.006436,            0.006436
                  38,            0.033332,            0.015973,           0.0014007,             0.64157,             0.28555,             0.18986,            0.094316,            0.049594,             0.02004,             0.07141,            0.006337,            0.006337,            0.006337
                  39,            0.033461,            0.015986,          0.00098977,             0.70254,             0.26659,             0.19233,            0.085557,            0.052001,            0.018816,            0.061308,            0.006238,            0.006238,            0.006238
                  40,            0.032516,            0.015876,           0.0011947,             0.75606,             0.29009,             0.33408,             0.14323,            0.049699,            0.019124,            0.031133,            0.006139,            0.006139,            0.006139
                  41,            0.033477,            0.016316,            0.001201,              0.7961,             0.25965,             0.29205,             0.14942,            0.054575,            0.019695,            0.041699,             0.00604,             0.00604,             0.00604
                  42,            0.033391,            0.015647,           0.0014193,             0.80164,             0.32948,             0.33504,             0.16554,            0.048509,            0.020285,            0.032241,            0.005941,            0.005941,            0.005941
                  43,            0.032033,            0.015418,           0.0013749,             0.79994,             0.26112,             0.30646,             0.14456,            0.051115,            0.019937,            0.045591,            0.005842,            0.005842,            0.005842
                  44,            0.032586,            0.014515,           0.0010288,             0.72869,             0.23986,             0.22474,             0.10415,            0.049352,            0.018205,            0.056773,            0.005743,            0.005743,            0.005743
                  45,             0.03148,            0.015241,          0.00086132,             0.70711,             0.25985,             0.21163,            0.093787,            0.047422,            0.019442,            0.071587,            0.005644,            0.005644,            0.005644
                  46,            0.031628,             0.01517,          0.00081801,             0.65661,              0.3246,               0.211,            0.088687,            0.048704,            0.018779,            0.071551,            0.005545,            0.005545,            0.005545
                  47,            0.031633,            0.014737,          0.00089737,             0.79696,             0.29677,             0.30641,             0.15967,            0.045733,             0.02089,            0.045419,            0.005446,            0.005446,            0.005446
                  48,            0.031293,            0.014607,          0.00073581,             0.83723,             0.26494,              0.3179,             0.17615,            0.050716,            0.020111,            0.049622,            0.005347,            0.005347,            0.005347
                  49,            0.030726,            0.014187,          0.00076019,              0.8133,              0.3484,              0.3131,             0.14963,            0.049043,            0.019262,            0.053464,            0.005248,            0.005248,            0.005248
                  50,            0.030468,            0.013919,          0.00092385,             0.73245,             0.22103,              0.2847,             0.14136,            0.050227,            0.019391,              0.0598,            0.005149,            0.005149,            0.005149
                  51,            0.030637,            0.014737,          0.00086418,              0.7117,             0.30888,             0.30075,             0.13509,            0.051029,            0.019641,            0.056481,             0.00505,             0.00505,             0.00505
                  52,            0.029744,            0.014492,           0.0010762,             0.85156,             0.25795,             0.35328,             0.16233,            0.048914,            0.021744,            0.046376,            0.004951,            0.004951,            0.004951
                  53,            0.030138,            0.014886,          0.00095422,             0.84676,             0.30926,             0.36457,             0.16815,            0.047382,            0.022113,            0.041467,            0.004852,            0.004852,            0.004852
                  54,            0.029917,            0.014541,          0.00070298,             0.89187,             0.26609,             0.34523,             0.14179,             0.04939,            0.022162,            0.047276,            0.004753,            0.004753,            0.004753
                  55,            0.030147,            0.014411,          0.00083091,             0.76022,             0.26708,             0.32072,             0.13986,            0.049161,            0.021634,            0.049155,            0.004654,            0.004654,            0.004654
                  56,            0.029605,            0.014645,          0.00075678,             0.80955,              0.2429,             0.33528,             0.16865,            0.048567,             0.02154,            0.062808,            0.004555,            0.004555,            0.004555
                  57,             0.02955,            0.013285,           0.0012429,             0.79814,             0.34149,             0.34329,             0.15422,             0.04831,            0.019145,              0.0448,            0.004456,            0.004456,            0.004456
                  58,            0.029202,            0.013602,          0.00074518,             0.72578,              0.2401,             0.33706,             0.14562,            0.050104,            0.021634,            0.048707,            0.004357,            0.004357,            0.004357
                  59,            0.028528,            0.014154,          0.00064366,             0.75684,             0.27394,             0.31989,             0.14546,            0.048733,            0.022532,            0.045857,            0.004258,            0.004258,            0.004258
                  60,            0.028567,             0.01392,          0.00077587,             0.83102,             0.25235,             0.33575,             0.15763,             0.04857,            0.023047,            0.045522,            0.004159,            0.004159,            0.004159
                  61,            0.027829,             0.01314,          0.00057128,             0.80425,             0.26166,              0.3421,             0.13988,            0.047467,            0.022713,            0.061862,             0.00406,             0.00406,             0.00406
                  62,            0.028332,            0.013882,          0.00073152,             0.77883,             0.31496,             0.35523,             0.15596,            0.047896,            0.022024,            0.062654,            0.003961,            0.003961,            0.003961
                  63,            0.028419,            0.014131,          0.00059913,             0.83865,             0.29102,             0.35721,             0.16563,            0.049297,             0.02194,            0.057568,            0.003862,            0.003862,            0.003862
                  64,             0.02819,             0.01379,          0.00053377,             0.77712,             0.34352,             0.34967,             0.16649,            0.048755,            0.022608,            0.056041,            0.003763,            0.003763,            0.003763
                  65,            0.027371,            0.012803,          0.00086084,             0.83131,             0.31893,             0.37047,              0.1582,            0.048962,            0.024672,            0.049607,            0.003664,            0.003664,            0.003664
