                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96094,                0.72807,                 1.2452,                0.78545,                0.73393,                0.79623,                0.47297,                 1.4866,                0.94877,                 1.7352,              0.0013947,              0.0013947,              0.0013947
                     36,                0.97744,                0.73399,                 1.2393,                0.64139,                0.61961,                0.65308,                0.36569,                  1.624,                 1.2834,                 1.8172,              0.0013864,              0.0013864,              0.0013864
                     37,                0.96523,                0.73299,                 1.2356,                  0.768,                0.70395,                0.76062,                0.44475,                  1.477,                0.94601,                 1.7298,              0.0013782,              0.0013782,              0.0013782
                     38,                0.97374,                0.73773,                 1.2431,                0.79511,                0.60591,                0.71298,                0.41273,                 1.5441,                 1.0441,                 1.7691,              0.0013699,              0.0013699,              0.0013699
                     39,                0.96008,                0.72246,                 1.2358,                0.78778,                0.71427,                0.76096,                 0.4503,                 1.5131,                0.94775,                 1.7256,              0.0013617,              0.0013617,              0.0013617
                     40,                0.98174,                 0.7398,                  1.251,                0.74226,                0.67734,                0.73584,                0.42977,                 1.4964,                0.99422,                 1.7061,              0.0013534,              0.0013534,              0.0013534
                     41,                0.94209,                0.70648,                  1.223,                0.77571,                0.71288,                 0.7715,                0.45273,                 1.5021,                 1.0349,                 1.7239,              0.0013452,              0.0013452,              0.0013452
                     42,                0.92354,                0.67739,                 1.2129,                0.83591,                 0.6763,                0.78215,                0.46636,                 1.5646,                0.99549,                 1.7743,              0.0013369,              0.0013369,              0.0013369
                     43,                0.91602,                0.67896,                 1.2078,                 0.7914,                0.60488,                0.71713,                0.41842,                  1.568,                 1.1763,                 1.7799,              0.0013287,              0.0013287,              0.0013287
                     44,                0.91941,                0.67959,                 1.2082,                0.83844,                0.72901,                0.79698,                0.47209,                 1.4913,                0.91134,                 1.7355,              0.0013204,              0.0013204,              0.0013204
                     45,                0.91406,                0.68554,                 1.2156,                0.79836,                0.68424,                0.75855,                0.43551,                 1.5454,                 1.0588,                 1.7651,              0.0013122,              0.0013122,              0.0013122
                     46,                0.93661,                0.70576,                 1.2212,                0.77175,                 0.7315,                0.76367,                0.43755,                 1.5001,                0.99467,                 1.7611,              0.0013039,              0.0013039,              0.0013039
                     47,                0.92243,                0.67476,                 1.2101,                0.81594,                0.71242,                0.79306,                0.47201,                 1.4908,                0.93179,                 1.7376,              0.0012957,              0.0012957,              0.0012957
                     48,                0.90868,                0.66647,                  1.212,                0.84333,                0.71524,                0.78003,                0.47206,                 1.4776,                0.95218,                 1.6879,              0.0012874,              0.0012874,              0.0012874
                     49,                0.90202,                0.67466,                 1.2005,                0.77293,                 0.7126,                0.75575,                0.43955,                 1.4908,                0.99946,                  1.716,              0.0012792,              0.0012792,              0.0012792
                     50,                0.91397,                0.66096,                 1.1969,                0.81656,                0.71429,                0.78636,                0.46911,                 1.4969,                0.96385,                 1.7364,              0.0012709,              0.0012709,              0.0012709
                     51,                0.90069,                 0.6694,                 1.1935,                0.84577,                0.66096,                0.75344,                0.43126,                 1.6196,                 1.0625,                 1.8639,              0.0012627,              0.0012627,              0.0012627
                     52,                0.91935,                0.68961,                 1.2002,                0.80795,                0.69329,                0.74871,                0.45984,                 1.5154,                0.97913,                 1.7098,              0.0012544,              0.0012544,              0.0012544
                     53,                0.90057,                0.67506,                 1.1927,                0.83142,                0.68757,                0.79551,                0.47991,                 1.4475,                0.89842,                 1.6804,              0.0012462,              0.0012462,              0.0012462
                     54,                0.90536,                0.67256,                 1.1961,                0.80111,                0.72145,                0.80376,                0.49111,                 1.4517,                0.87563,                  1.696,              0.0012379,              0.0012379,              0.0012379
                     55,                0.88587,                 0.6308,                 1.1775,                0.80536,                0.75205,                0.79982,                0.48947,                 1.5012,                 0.8763,                 1.7402,              0.0012297,              0.0012297,              0.0012297
                     56,                0.89859,                0.64516,                 1.1776,                0.79987,                0.73783,                0.79054,                0.45917,                 1.4859,                0.91457,                 1.7181,              0.0012214,              0.0012214,              0.0012214
                     57,                0.88779,                0.65684,                 1.1839,                0.80348,                0.69615,                0.75433,                0.44905,                 1.5293,                  1.016,                 1.7712,              0.0012132,              0.0012132,              0.0012132
                     58,                0.86828,                 0.6294,                 1.1724,                0.80914,                0.68991,                  0.763,                0.47041,                 1.4568,                0.96058,                 1.7178,              0.0012049,              0.0012049,              0.0012049
                     59,                0.89106,                0.65883,                 1.1913,                0.85482,                0.69991,                0.78691,                0.46368,                 1.5201,                 0.9893,                 1.7403,              0.0011967,              0.0011967,              0.0011967
                     60,                 0.8874,                0.64867,                 1.1823,                0.82818,                0.68585,                0.79038,                0.47612,                 1.4757,                0.91101,                 1.7298,              0.0011884,              0.0011884,              0.0011884
                     61,                0.86919,                0.63793,                 1.1759,                0.82143,                0.74115,                 0.7949,                0.48373,                 1.5093,                  0.934,                 1.7354,              0.0011802,              0.0011802,              0.0011802
                     62,                0.87958,                0.63269,                 1.1743,                0.83773,                0.73911,                0.80466,                0.49329,                 1.4861,                0.92739,                 1.7412,              0.0011719,              0.0011719,              0.0011719
                     63,                0.86204,                0.63084,                 1.1722,                0.80372,                0.71882,                0.77757,                0.45196,                 1.5297,                0.94601,                 1.7566,              0.0011636,              0.0011636,              0.0011636
                     64,                0.84497,                0.63644,                 1.1571,                0.87125,                0.69825,                0.76212,                0.46078,                 1.5176,                0.93072,                 1.7943,              0.0011554,              0.0011554,              0.0011554
                     65,                0.86297,                 0.6231,                 1.1704,                0.80504,                0.69671,                0.76476,                  0.454,                 1.5125,                 0.9598,                 1.7557,              0.0011471,              0.0011471,              0.0011471
                     66,                0.85331,                0.61304,                 1.1583,                0.85475,                0.70824,                0.80379,                0.49069,                 1.4952,                0.89773,                 1.7715,              0.0011389,              0.0011389,              0.0011389
                     67,                0.85259,                0.61298,                 1.1627,                0.80799,                0.74257,                0.81352,                0.48551,                 1.4736,                0.91529,                 1.7377,              0.0011306,              0.0011306,              0.0011306
                     68,                0.85845,                0.62988,                 1.1698,                0.84712,                0.73195,                0.80578,                0.47318,                 1.4852,                0.88322,                 1.7515,              0.0011224,              0.0011224,              0.0011224
                     69,                0.84881,                0.61559,                 1.1726,                0.83618,                0.73258,                0.80776,                0.48119,                 1.4482,                0.87469,                 1.6985,              0.0011141,              0.0011141,              0.0011141
                     70,                 0.8486,                0.61557,                 1.1651,                0.83311,                0.73129,                0.80207,                0.47919,                 1.4436,                0.91457,                 1.7089,              0.0011059,              0.0011059,              0.0011059
                     71,                0.85237,                0.61456,                 1.1651,                0.82598,                0.70862,                0.77222,                0.46123,                 1.5434,                0.91908,                 1.8528,              0.0010976,              0.0010976,              0.0010976
                     72,                0.83905,                0.59472,                 1.1608,                0.80819,                0.72929,                0.77498,                0.48594,                 1.4786,                  0.925,                 1.7247,              0.0010894,              0.0010894,              0.0010894
                     73,                0.82776,                0.61185,                 1.1494,                 0.8584,                0.66973,                0.76274,                0.46633,                 1.5077,                0.90767,                 1.7753,              0.0010811,              0.0010811,              0.0010811
                     74,                0.82181,                0.58479,                 1.1423,                0.82477,                0.68649,                0.76083,                0.45926,                  1.491,                0.93142,                 1.7801,              0.0010729,              0.0010729,              0.0010729
                     75,                0.83242,                0.58823,                 1.1586,                0.85737,                0.74093,                0.80945,                 0.4795,                 1.4781,                0.86902,                 1.7532,              0.0010646,              0.0010646,              0.0010646
                     76,                0.80768,                0.58475,                   1.14,                0.86255,                 0.7198,                0.78771,                0.48679,                 1.4745,                0.86632,                 1.7292,              0.0010564,              0.0010564,              0.0010564
                     77,                0.84553,                0.61673,                 1.1547,                0.81977,                0.71638,                0.78535,                0.47214,                 1.5407,                0.89328,                 1.8269,              0.0010481,              0.0010481,              0.0010481
                     78,                0.81374,                0.59679,                 1.1472,                0.84384,                0.74803,                0.81872,                0.49114,                 1.4994,                0.86994,                 1.7522,              0.0010399,              0.0010399,              0.0010399
                     79,                0.80616,                0.58294,                 1.1412,                 0.8473,                0.72054,                0.78278,                0.48209,                 1.4749,                0.92512,                 1.7733,              0.0010316,              0.0010316,              0.0010316
                     80,                0.79739,                0.58277,                 1.1361,                0.81857,                0.74248,                0.80334,                0.47594,                 1.4973,                0.93813,                 1.8032,              0.0010234,              0.0010234,              0.0010234
                     81,                0.80251,                 0.5602,                  1.127,                0.83643,                0.72222,                0.79936,                0.47936,                 1.4983,                 0.8899,                 1.8027,              0.0010151,              0.0010151,              0.0010151
                     82,                0.78032,                0.56162,                 1.1219,                0.84922,                0.70408,                0.79291,                0.49068,                 1.4726,                0.91444,                 1.8014,              0.0010069,              0.0010069,              0.0010069
                     83,                0.79427,                0.56678,                 1.1293,                0.87225,                0.72201,                0.81436,                0.49792,                 1.4696,                0.86362,                 1.7357,             0.00099862,             0.00099862,             0.00099862
                     84,                0.79404,                0.55879,                 1.1285,                0.82157,                0.75098,                 0.8126,                0.48279,                  1.491,                0.84114,                 1.7727,             0.00099036,             0.00099036,             0.00099036
                     85,                0.79568,                0.57679,                 1.1327,                0.79495,                0.79082,                 0.8254,                0.48806,                 1.4997,                0.88575,                 1.7856,             0.00098211,             0.00098211,             0.00098211
                     86,                0.77073,                0.55186,                 1.1138,                0.81068,                 0.7291,                0.79844,                0.49381,                 1.4472,                0.88876,                 1.7041,             0.00097386,             0.00097386,             0.00097386
                     87,                0.78767,                0.55433,                 1.1219,                0.86249,                0.71283,                0.80204,                0.48078,                 1.4757,                0.88701,                 1.7868,             0.00096561,             0.00096561,             0.00096561
                     88,                0.77189,                0.53574,                 1.1068,                0.89567,                  0.678,                0.78952,                0.47854,                 1.4739,                0.90316,                 1.7419,             0.00095736,             0.00095736,             0.00095736
                     89,                0.76936,                0.55436,                 1.1086,                0.90234,                0.69557,                0.81304,                0.49959,                 1.4412,                0.90139,                 1.6828,             0.00094911,             0.00094911,             0.00094911
                     90,                0.77892,                0.55862,                 1.1266,                 0.8304,                0.76278,                0.81097,                0.51175,                 1.4676,                0.82608,                 1.7441,             0.00094085,             0.00094085,             0.00094085
                     91,                0.79002,                0.55648,                 1.1258,                0.80951,                0.67244,                0.73881,                0.44366,                 1.5182,                 1.0032,                 1.7444,              0.0009326,              0.0009326,              0.0009326
                     92,                0.77874,                0.54268,                 1.1113,                0.81178,                0.77864,                0.81579,                0.48642,                 1.4868,                0.85981,                 1.7577,             0.00092435,             0.00092435,             0.00092435
                     93,                0.77638,                0.54515,                 1.1175,                0.85844,                0.76587,                0.83483,                0.50477,                 1.4231,                0.81386,                 1.7084,              0.0009161,              0.0009161,              0.0009161
                     94,                0.76114,                0.54799,                 1.0976,                0.83691,                 0.7226,                 0.7876,                 0.4724,                 1.4855,                 0.9114,                 1.7772,             0.00090785,             0.00090785,             0.00090785
                     95,                0.76803,                0.55819,                 1.1004,                 0.8961,                0.77324,                0.84771,                0.51011,                 1.4629,                0.81894,                 1.7071,              0.0008996,              0.0008996,              0.0008996
                     96,                 0.7448,                 0.5289,                 1.0867,                0.85379,                0.72453,                0.80857,                0.51477,                 1.4215,                0.82725,                 1.6987,             0.00089134,             0.00089134,             0.00089134
                     97,                0.76054,                  0.536,                 1.1149,                0.83213,                0.75057,                0.80354,                0.49218,                 1.5002,                0.86146,                 1.8052,             0.00088309,             0.00088309,             0.00088309
                     98,                0.75782,                0.53539,                 1.1066,                0.82249,                0.69314,                0.77969,                 0.4634,                 1.5058,                0.89341,                 1.8082,             0.00087484,             0.00087484,             0.00087484
                     99,                0.76052,                0.54122,                 1.1134,                0.86237,                0.75948,                0.82507,                0.50101,                 1.4844,                0.86574,                  1.727,             0.00086659,             0.00086659,             0.00086659
